Episode,Name,Director,Writer,Air Date,Production Code,Viewers (millions)
15,"""Deadalive""",Tony Wharmby,Chris Carter & Frank Spotnitz,2001-04-01,8ABX15,12.4
16,"""Three Words""",Tony Wharmby,Chris Carter & Frank Spotnitz,2001-04-08,8ABX18,N/A
17,"""Empedocles""",Barry K. Thomas,Greg Walker,2001-04-22,8ABX17,12.46
18,"""Vienen""",Rod Hardy,Steven Maeda,2001-04-29,8ABX16,11.8
19,"""Alone""",Frank Spotnitz,Frank Spotnitz,2001-05-06,8ABX19,12.7
20,"""Essence""",Kim Manners,Chris Carter,2001-05-13,8ABX20,12.8
21,"""Existence""",Kim Manners,Chris Carter,2001-05-20,8ABX21,14
1,"""Nothing Important Happened Today""",Kim Manners,Chris Carter & Frank Spotnitz,2001-11-11,9ABX01,10.6
2,"""Nothing Important Happened Today II""",Tony Wharmby,Chris Carter & Frank Spotnitz,2001-11-18,9ABX02,9.4
3,"""Dæmonicus""",Frank Spotnitz,Frank Spotnitz,2001-12-02,9ABX03,8.7
4,"""4-D""",Tony Wharmby,Steven Maeda,2001-12-09,9ABX05,8.9
5,"""Lord of the Flies""",Kim Manners,Thomas Schnauz,2001-12-16,9ABX06,9.9
6,"""Trust No 1""",Tony Wharmby,Chris Carter & Frank Spotnitz,2002-01-06,9ABX08,8.4
7,"""John Doe""",Michelle MacLaren,Vince Gilligan,2002-01-13,9ABX07,8.7
8,"""Hellbound""",Kim Manners,David Amann,2002-01-27,9ABX04,7.8
9,"""Provenance""",Kim Manners,Chris Carter & Frank Spotnitz,2002-03-03,9ABX10,9.7
10,"""Providence""",Chris Carter,Chris Carter & Frank Spotnitz,2002-03-10,9ABX11,8.4
11,"""Audrey Pauley""",Kim Manners,Steven Maeda,2002-03-17,9ABX13,8
12,"""Underneath""",John Shiban,John Shiban,2002-03-31,9ABX09,7.3
13,"""Improbable""",Chris Carter,Chris Carter,2002-04-07,9ABX14,9.1
14,"""Scary Monsters""",Dwight Little,Thomas Schnauz,2002-04-14,9ABX12,8.2
15,"""Jump the Shark""",Cliff Bole,Vince Gilligan & John Shiban & Frank Spotnitz,2002-04-21,9ABX15,8.6
16,"""William""",David Duchovny,Story by : David Duchovny & Frank Spotnitz & Chris Carter Teleplay by : Chris Carter,2002-04-28,9ABX17,9.3
17,"""Release""",Kim Manners,Story by : John Shiban & David Amann Teleplay by : David Amann,2002-05-05,9ABX16,7.8
18,"""Sunshine Days""",Vince Gilligan,Vince Gilligan,2002-05-12,9ABX18,10.4
19  20,"""The Truth""",Kim Manners,Chris Carter,2002-05-19,9ABX19  9ABX20,13.25
